Accession No.	Title	Author	Remarks	Subject
VRT0001	चिन्तामणिटीका		Incomplete.	Nyaya
VRT0002	Commentary on the work of शिवादित्य		Incomplete.	Nyaya
VRT0003	दीधिति	रघुनाथ शिरोमणि	Incomplete.	Nyaya
VRT0004	दुर्गासप्तशतिकास्तोत्र		Incomplete.	Purana
VRT0005	द्रव्यपदार्थ (तर्कसङ्ग्रह)		Incomplete.	Vaisheshika
VRT0006	गृहशान्ति		Incomplete.	Dharmashastra Ritual
VRT0007	होमयज्ञ		Incomplete.	Dharmashastra Ritual
VRT0008	लक्षणावलीप्रकाश	केशव s/o अनन्त भट्ट	Incomplete. This is a commentary on लक्षणावली of उदयनाचार्य.	Vaisheshika
VRT0009	मञ्जरीमकरन्द	भूदेव शुक्ल	Incomplete.	Nyaya
VRT0010	न्यायसिद्धान्तमञ्जरी	जानकीनाथ शर्मा	Complete.	Nyaya
VRT0011	न्यायसिद्धान्तमञ्जरी (शब्दखण्डटीका)		Incomplete.	Nyaya
VRT0012	नायिकावर्णन		Incomplete.	Rhetorics
VRT0013	रसमञ्जरी	भानुकवि	Complete. 14th century. Scribe: हरिराम. V.S. 1665	Rhetorics
VRT0014	रसमञ्जरीटीका	चिन्तामणि (शेष) s/o नरसिंह	Incomplete.	Rhetorics
VRT0015	रसतरङ्गिणी	भानुदत्त	Incomplete. 14th century.	Rhetorics
VRT0016	सौयोगविभाग (तर्कसङ्ग्रहदीपिका)		Incomplete.	Nyaya
VRT0017	सेवाश्लोक	श्रीवल्लभाचार्य	Incomplete.	Dharmashastra Ritual
VRT0018	सिद्धान्तमुक्तावलीटीका	महादेव	Incomplete.	Nyaya
VRT0019	तर्कभाषा	केशव मिश्र	Incomplete.	Nyaya
VRT0020	त्रिकालसन्ध्या		Incomplete.	Dharmashastra Ritual
VRT0021	तर्ककौमुदी	लौगाक्षी भास्कर	Incomplete.	Nyaya
VRT0022	तर्कसङ्ग्रह	अन्नम्भट्ट	Incomplete.	Nyaya
VRT0023	तर्कभाषाप्रकाश	गोवर्धन मिश्र	Incomplete.	Nyaya
VRT0024	तर्कसङ्ग्रहदीपिका	अन्नम्भट्ट	Incomplete. Scribe: शङ्कर भाउजी. V.S. 1724.	Nyaya
VRT0025	त्रिकालसन्ध्या		Incomplete.	Dharmashastra Ritual
VRT0026	उपमाननिरूपण		Incomplete.	Nyaya
VRT0027	वादबोधटीका		Incomplete.	Nyaya
