Accession Number	Subject	Title	Author	Scribe	Date of the work	Date of the Ms.	Place of the work	Place of the Ms.	Size	Extent	Language	Script	Remarks	Observations
SDPB0001	Dharmashastra	भगवन्तभास्कर (समयमयूख)	नीलकण्ठ भट्ट		A.D. 1640 circa				11.8"x5"	89	Sanskrit	Devanagari	Folio no. 53 and 66 are missing.	
SDPB0002	Dharmashastra	भगवन्तभास्कर (नीतिमयूख)	नीलकण्ठ भट्ट		A.D. 1640 circa				10.2"x4.8"	56	Sanskrit	Devanagari	Complete.	
SDPB0003	Dharmashastra	भगवन्तभास्कर (दानमयूख)	नीलकण्ठ भट्ट		A.D. 1640 circa				11.6"x5"	141	Sanskrit	Devanagari	Folio 3 is missing. Folio no. 126 are two, and 127 is missing. Obviously second 126 is really 127.	
SDPB0004	Dharmashastra	भगवन्तभास्कर (शान्तिमयूख)	नीलकण्ठ भट्ट		A.D. 1640 circa				11.3"x5.3"	86	Sanskrit	Devanagari	Folios 34 to 41 are missing. The manuscript is revised by one भास्कर in V.S. 1722	Renamed as भगवन्तभास्कर (शान्तिमयूख)?
SDPB0005	Dharmashastra	भगवन्तभास्कर (आचारमयूख)	नीलकण्ठ भट्ट	रामजित् s/o श्रीकृष्ण	A.D. 1640 circa	V.S. 1737			10.7"x5"	81+2 of contents	Sanskrit	Devanagari	Complete.	
SDPB0006	Dharmashastra	भगवन्तभास्कर (प्रायश्चित्तमयूख)	नीलकण्ठ भट्ट		A.D. 1640 circa				12.5"x5.5"	106+4 of contents	Sanskrit	Devanagari	Folio no. 48 is missing.	
SDPB0007	Dharmashastra	भगवन्तभास्कर (उत्सर्गमयूख)	नीलकण्ठ भट्ट		A.D. 1640 circa				11.5"x5"	14	Sanskrit	Devanagari	Complete.	
SDPB0008	Dharmashastra	भगवन्तभास्कर (श्राद्धमयूख)	नीलकण्ठ भट्ट		A.D. 1640 circa				11.3"x5.3"	113	Sanskrit	Devanagari	Complete.	
SDPB0009	Dharmashastra	संस्कारमयूख	सिद्धेश्वर		V.S. 1726				11.5:x5.1"	113	Sanskrit	Devanagari	Complete.	
SDPB0010	Dharmashastra	भगवन्तभास्कर (शुद्धिमयूख)	नीलकण्ठ भट्ट		A.D. 1640 circa				11"x5.3"	27	Sanskrit	Devanagari	Complete.	
SDPB0011	Dharmashastra	भगवन्तभास्कर (अनुक्रमणिका)	नीलकण्ठ भट्ट		A.D. 1640 circa				11.5"x5"	53	Sanskrit	Devanagari	Incomplete. Folio 47 and some folios have torn edges; slightly damaging the text.	
SDPB0012	Dharmashastra	कृत्यरत्नावली	रामचन्द्र तत्सत् भट्ट		A.D 1648				11.2"x5.2"	67	Sanskrit	Devanagari	Complete.	
SDPB0013A	Katha	पञ्चडण्डनी कथा				(V.S.?) 1556			9.2"X5.4"	48	Gujarati	Gujarati		
SDPB0013B	Kavya	अनीति चोवीशी	सुरदास			(V.S.?) 1556			9.2"X5.4"	5	Gujarati	Gujarati		
SDPB0013C	Stavana	आदीश्वरनुं स्तवन				(V.S.?) 1556			9.2"X5.4"	3	Gujarati	Gujarati		
SDPB0013D	Purana	श्रीमद्भगवद्गीता								95	Sanskrit	Devanagari	Incomplete. Folios 1-56 are missing. Begins abruptly. Folios 58,66,69,73,77,79,82,86 and 95 have pictures.	Physical size examination pending.
SDPB0013E	Purana	वेदानुस्मृति								46	Sanskrit	Devanagari	Complete. Folios 1,  34, 46 have pictures. It is taken from शौनकशतानीकसंवाद from विष्णुधर्मोत्तरपुराण.	Physical size examination pending.
SDPB0013F	Purana	गजेन्द्रमोक्ष								20	Sanskrit	Devanagari	Complete. Folio 20 has picture.	Physical size examination pending.
SDPB0014	Stotra	शिवहसस्रनाम (रुद्रयामलतन्त्र)							5"x2.6"	36	Sanskrit	Devanagari	Folios 27 and 28 are missing.	
SDPB0015	Purana	श्रीनगरकथा		सखाराम s/o नाहना वैष्णव					5.8"x3.2"	148	Sanskrit	Devanagari	श्रीनगरकथा from ब्रह्माण्डपुराण.	
SDPB0016	Tantra	द्रव्यशोधन		भट्ट देवराम		V.S. 1836		लाङ्गुलपुर	5.8"x3.9"	8	Sanskrit	Devanagari	The manuscript was copied for गुसांइ जीवनभारथी.	
SDPB0017	Tantra	नवऋचा (सुन्दरीतर्पण)		भट्ट देवराम		V.S. 1836		लाङ्गुलपुर	5.8"x3.5"	13	Sanskrit	Devanagari	The manuscript was copied in the reign of गजसिंह for गुसांइ जीवनभारथी.	
SDPB0018	Dharmashastra	व्रतार्क	शङ्कर भट्ट						11.1"x4.8"	115	Sanskrit	Devanagari	Folios 27-28, 33-41, 73-76, 96-99 are missing. Text damaged on folios 1-12, 23, 56-61. Ends abruptly.	
SDPB0019	Dharmashastra	व्रतार्क	शङ्कर भट्ट						10.9"x4.9"	22	Sanskrit	Devanagari	Begins and ends abruptly.	
SDPB0020	Dharmashastra	व्रतार्क	शङ्कर भट्ट						11.1"x4.9"	17	Sanskrit	Devanagari	Begins and ends abruptly.	
SDPB0021	Dharmashastra	व्रतार्क	शङ्कर भट्ट						11.1"x4.9"	128	Sanskrit	Devanagari	Begins abruptly. Pagination is not exact.	
SDPB0022	Ritual	जलाशयोत्सर्ग	कमलाकर भट्ट						11.3"x4.1"	15	Sanskrit	Devanagari	Complete.	
SDPB0023	Ritual	घटाद्युद्यापनप्रयोग							11.3"x4.2"	6	Sanskrit	Devanagari	The beginning and the end look abrupt.	
SDPB0024	Ritual	एकादशी उद्यापनम्							11.3"x4.9"	9	Sanskrit	Devanagari	Complete.	
SDPB0025	Ritual	वास्तुहवन							10.9"x4.9"	8	Sanskrit	Devanagari	Seems complete.	
SDPB0026	Ritual	शूद्राणां वास्तुशान्तिः							11"X5"	4	Sanskrit	Devanagari	Seems complete.	
SDPB0027	Ritual	द्वादशाब्दोत्तरं सुहृदवलोकनविधि		रमाशङ्कर				अहमदाबाद	11"x5.1"	1	Sanskrit	Devanagari	Complete.	
SDPB0028	Ritual	आचार्यचन्द्रिकाभिधाना सर्वदेवप्रतिष्ठापद्धति	त्रिविक्रमसूरि s/o रघुसूरि	गणपतिनारायण		V.S. 1872			11"x4.9"	140	Sanskrit	Devanagari	Complete.	Slip mentions विक्रमसूरि instead of त्रिविक्रमसूरि.
SDPB0029	Dharmashastra	धर्मतत्त्वकमलाकर (पूर्तकमलाकर)	कमलाकर भट्ट	रामचन्द्र		V.S. 1814, shaka 1680			11.2"x5"	87	Sanskrit	Devanagari	Complete.	
SDPB0030	Dharmashastra	शूद्रधर्मतत्त्व	कमलाकर भट्ट	सुमित्रातनूज			shaka 1581		11.2"x5"	119	Sanskrit	Devanagari	Folios 84 and 85 are missing.	
SDPB0031	Dharmashastra	प्रासादरिवोद्यचरप्रतिष्ठापद्धति (?)	शङ्कर भट्ट s/o नारायण भट्ट						9.5"x4.9", 8.4"x4.5" in last folio	10	Sanskrit	Devanagari	folio 1 is missing.	Title name is not very clear, even in manuscript colophon.
SDPB0032	Dharmashastra	शिवलिङ्गविष्णुदुर्गासूर्यगणेशादिमूर्तिप्रतिष्ठाविधि							9.6"x4.4"	8	Sanskrit	Devanagari	Incomplete. Ends abruptly.	
SDPB0033	Tantra Ritual	मङ्गलव्रतोद्यापन		रमाशङ्कर		V.S. 1863		अहमदाबाद	11.1"x5.3"	12	Sanskrit	Devanagari	Complete.	
SDPB0034	Architecture	कुण्डकल्पलता	ढुण्ढिराज s/o पुरुषोत्तमराज	दयाराम व्यास		V.S. 1852			9.8"x4.9"	124	Sanskrit	Devanagari	Folios 1, 102, 103, 104 are missing.	
SDPB0035	Dharmashastra	तीर्थधर्मप्रकरण (त्रिस्थलीसेतु सामान्यप्रघट्टक)	नारायण भट्ट			V.S. 1745		काशीक्षेत्र	10.9"x4.8"	69	Sanskrit	Devanagari	Complete. The work is a part of bigger work named त्रिस्थलीसेतु.	
SDPB0036	Dharmashastra	आतुरसन्न्यासविधि							11.1"x5.3"	2	Sanskrit	Devanagari	Complete. The work is according to आङ्गिरस school.	
SDPB0037	Architecture	वेदिनिर्माण							11"x5.2"	4	Sanskrit	Devanagari	Unfinished.	
SDPB0038	Tantra Ritual	मङ्गलयन्त्र							14"x8"	1	Sanskrit	Devanagari	Complete in itself. 1 folio torn in 2 parts.  Bears the words मङ्गलनो जन्त्र.	
SDPB0039	Tantra Ritual	यन्त्र							10.8"x10.6"	1	Sanskrit	Devanagari	Complete in itself.	
SDPB0040	Tantra Ritual	नवार्णन्यासविधिप्रयोग	कमलाकर भट्ट						10.9"x4.9"	3	Sanskrit	Devanagari	Slip is not properly scanned. Recheck with physical copy.	
SDPB0041	Jyotisha	ज्योतिषग्रन्थ							11"x5.5"	5	Sanskrit	Devanagari	Seems incomplete.	
SDPB0042	Dharmashastra	दाहधर्मग्रन्थ	नारद						9.7"x4.6"	1	Sanskrit	Devanagari	Complete by itself.	
SDPB0043	Stotra	महागणपतिस्तवराज							10.9"x5.1	2	Sanskrit	Devanagari	Mostly complete.	
SDPB0044	Dharmashastra	कूर्मलक्षण		माघव याज्ञिक		V.S. 1482			11"x5.3"	36	Sanskrit	Devanagari	Complete. A स्मार्त ritual.	
SDPB0045	(Tantric?) Ritual	अर्जुनपारिजात	रामचन्द्र						9.3"x4.2"	19	Sanskrit	Devanagari	Complete.	
SDPB0046	Kavya	कुमारसम्भव वत्सटीकासहित	कालिदास, वत्स						11.2"x4.2"	130	Sanskrit	Devanagari	Complete upto seven cantos.	
SDPB0047	Grammar	महाभाष्य (प्रदीपप्रदीपोद्योतसहित)	पतञ्जलि (कैयट, नागोजी भट्ट)				शृङ्गवेरपुर		17.5"x6.2"	131	Sanskrit	Devanagari	Incomplete. Breaks off after the आह्निक 4 of I.	
SDPB0048	Tantra Ritual	त्रिपुरसुन्दरीपूजा							7.6"x4.8"	22	Sanskrit	Devanagari	Folios 1 and 2 missing. Begins and ends abruptly.	
SDPB0049	Tantra Ritual	देवीपूजा		वेङ्कटेश		क्रोधने वत्सरे (?)			9.3"x4.3"	12	Sanskrit	Devanagari	First 3 folios are missing. Begins abruptly.	
SDPB0050	Tantra Ritual	आपदुद्धारमन्त्र							7.9"x4.6"	4	Sanskrit	Devanagari	Complete. A मन्त्र related to बटुकभैरव.	
SDPB0051	Tantra Ritual	बटुकभैरवकवच		ईश्वरजी		V.S. 1799			8.5"x4.6"	2	Sanskrit	Devanagari	Complete.	
SDPB0052	Tantra Ritual	बटुकभैरवकवच							8.1"x4.5"	1	Sanskrit	Devanagari	Ends abruptly.	
SDPB0053	Tantra Ritual	पुरश्चरणविधि		इच्छाराम		V.S. 1804			7.5"x4.5"	9	Sanskrit	Devanagari	Complete.	
