८९८	73	आदित्यहृदयस्तोत्र (भविष्योत्तरपुराण)	_	_.1	Paper	DN	"५"" x ३.७"""	"३"" x २.२"""	7	11	38	_.2	उत्तमस्तरीय:	शक १६७६ 	Incomplete. F.1.7, 19-26, 33-34 missing The last folios torn and Begins abruptly	Stotras
८९९	75	आदित्यहृदयस्तोत्र	_	_	Paper	DN	"६"" x ४"""	"४.४"" x २.६"""	8	18	16	_	उत्तमस्तरीय:	_	Incomplete.F.1-2, missing Begins and Ends abruptly.	Stotras
९००	446	आदित्यहृदयस्तोत्र	_	_	Paper	DN	"७"" x ३.५'"	"५.२"" x २.२"""	10	30	19	_	उत्तमस्तरीय:	_	Incomplete.F.1, missing Begins and Ends abruptly.	Stotras
९०१	698	आदित्यहृदयस्तोत्र	_	_	Paper	DN	"६.४"" x ३.८"""	"४.७"" x २.२"""	7	20	28	_	उत्तमस्तरीय:	_	Complete.	Stotras
९०२	742	आदित्यहृदयस्तोत्र	_	_	Paper	DN	"८.१"" x ३"""	"७.२"" x २"	7	26	10	_	उत्तमस्तरीय:	_	Complete.	Stotras
९०३	942	आदित्यहृदयस्तोत्र	_	_	Paper	DN	"६."" x ३.८"""	"४.४"" x २.८"""	12	24	10	_	उत्तमस्तरीय:	_	Complete. Margins and borders are torn and the text is damaged on F.2,7,8,9.	Stotras
९०४	962	आदित्यहृदयस्तोत्र	_	_	Paper	DN	"६"" x ४.२"""	"४.५"" x २.४"""	9	24	2	_	उत्तमस्तरीय:	_	Incomplete. Ends abruptly	Stotras
९०५	१२३१	आदित्यहृदयस्तोत्र	_	_	Paper	DN	"६.७"" x ३.४"""	"५.२"" x २.२"""	८	२२	२२	_	उत्तमस्तरीय:	संवत १७३८	Incomplete F. 1-19 missing F.22 torn and the text is damaged. Begins abruptly	Stotras
९०६	1232	आदित्यहृदयस्तोत्र	_	_	Paper	DN	"६.१"" x ४.३"""	"४.५"" x २.५"""	9	22	14	_	उत्तमस्तरीय:	_	Incomplte f. 1-2 missing. Begins and ends abruptly.	Stotras
९०७	1233	आदित्यहृदयस्तोत्र	_	_	Paper	DN	"६.१"" x ४"""	"४.३"" x २.२"""	7	20	22	_	उत्तमस्तरीय:	_	Incomplete The edges are torn. Ends abruptly	Stotras
९०८	954	अंगारकस्तोत्र	_	_	Paper	DN	"६.७"" x ४.१"""	"५.७"" x ३"""	9	26	1	_	उत्तमस्तरीय:	_	Complete. At the end the title given is mangalastaaifa	Stotras
९०९	--	अन्नपूर्णास्तोत्र	शंकराचार्य:	_	Paper	DN	"९.८"" x ४.५"""	"८.२"" x ३.५"""	15	40	1	_	उत्तमस्तरीय:	_	Incomplete. The page is torn on both sides of the margins.	Stotras
९१०	798	आपदुद्धफकबटुकभैरवस्तोत्र	_	_	Paper	DN	"८"" x ३.५"""	"६""x २.२"""	6	22	12	_	उत्तमस्तरीय:	_	Complete. Edges torn.	Stotras
९११	887	अपामार्जनस्तोत्र	_	_	Paper	DN	"८.६"" x ४.४"""	"७.३"" x ३.३"""	11	32	5	_	मध्यमस्तरीय:	_	Complete Borders torn and the text slightly damaged	Stotras
९१२	956	अपराधनिवेदितस्तोत्र	शंकराचार्य:	_	Paper	DN	"६.८ x ४.४"""	"५"" x ३.२"""	7	14	6	_	उत्तमस्तरीय:	_	Complete.	Stotras
९१३	281	अश्वत्थनारायणस्तोत्र	_	_	Paper	DN	"८.३"" x ४.२"""	"७.३"" x ३.२"""	12	35	3	सीताराम: जडिय:	उत्तमस्तरीय:	१६९६ जयाब्द:	.............	Stotras
९१४	1250	बगलासहस्रनामस्तोत्र	_	_	Paper	DN	"६.२"" x ५"""	"४.३"" x ३.४"""	11	18	14	_	उत्तमस्तरीय:	_	Incomplete. F.7-8 missing, ends abruptly.	Stotras
९१५	1252	बगलामुखीपीताम्बरास्तोत्र	_	_	Paper	DN	"१०.१ x ४.८"""	"७.५"" x २.८"""	9	44	3	_	उत्तमस्तरीय:	_	Incomplete. F.1 missing F.2. torn the text is slightly damaged Begins abruptly.	Stotras
९१६	967	बटुकभैरवस्तोत्र	_	_	Paper	DN	"५.१"" x ७.९"" ४.५"" x ६.५"""	"४"" x ६.३"" ३"" x ४.५"""	   १४   १५	९/१६	21	_	संवत १७३८	_	Incomplete. These are so many stotras like Indraksistotra, Kalipuja, Hanumat Pratyangirastotra etc.	Stotras
९१७	978	बटुकभैरवस्तोत्र	_	_	Paper	DN	"८.५"" x ४"""	"७"" x ३.५"""	7	24	4	_	उत्तमस्तरीय:	_	Incomplete. F.1.torn and the text damaged ends abruptly.	Stotras
९१८	980	भैरवाष्टक	शंकराचार्य:	_	Paper	DN	"६.७"" x ३.४"""	"५.८"" x २.२"""	6	30	4	_	सामान्य स्तरीय:	_	Complete. Margins are torn and the text is slightly damaged.	Stotras
९१९	1179	भैरवाष्टकस्तोत्र - श्रीस्तोत्र	शंकराचार्य: कालिदासः	_	Paper	DN	"८"" x ३.९"""	"७"" x २.९"""	11	42	1	_	सामान्य स्तरीय:	_	Complete. The folio is moth-eaten and the text is seriously damaged.	Stotras
९२०	844	भवानीसहस्रनाम	_	_	Paper	DN	"५.८"" x ५"""	"४"" x ३.२"""	8	16	68	_	उत्तमस्तरीय:	_	Incomplete. There are other stotras. Begins & ends abruptly.	Stotras
९२१	295	भवानीसहस्रनामस्तोत्र	_	_	Paper	DN	"१०.२"" x ४.५"""	"८"" x २.७"""	7	26	19	लक्ष्मी नारायण: ठाकुर:	उत्तमस्तरीय:	संवत १७८७	Edges torn.	Stotras
९२२	971	भवानिस्तुति	_	_	Paper	DN	"८.४"" x ४"""	"७"" x ३"""	10	32	2	_	उत्तमस्तरीय:	_	Incomplete. Begins abruptly.	Stotras
९२३	1262	भीष्मस्तवराजस्तोत्र महाभारत	_	_	Paper	DN	"५.८"" x ३.९"""	"३.७"" x २.२"""	7	20	12	_	उत्तमस्तरीय:	_	Incomplete. Ends abruptly	Stotras
९२४	1263	भीष्मस्तवराजस्तोत्र	_	_	Paper	DN	"६.४"" x ४.२"""	"४.७"" x २.४"""	8	35	12	_	उत्तमस्तरीय:	_	Incomplete. F.1-4, 9-10 lost. Begins and ends abruptly.	Stotras
९२५	972	भुजंगभूषणस्तोत्र	शंकराचार्य:	_	Paper	DN	"८"" x ३.७"""	"६.८"" x २.५"""	9	30	3	_	उत्तमस्तरीय:	_	Complete. Folios are moth-eaten, torn margins and the text is damaged.	Stotras
९२६	1153	भुमिमंत्र (कूर्मचक्र)	_	_	Paper	DN	"८"" x ३.९"""	"६.३"" x २.९"""	11	32	1	_	उत्तमस्तरीय:	_	Complete. 	Stotras
९२७	332	भूतशक्तिस्तोत्र	पंड्या गणपतराम: गोविन्दराम:	_	Paper	DN	"५.८"" x ३.७"""	"४.५"" x २.६"""	11	30	6	पंड्या गणपतराम: गोविन्दराम:	उत्तमस्तरीय:	_	Incomplete  F.1. missing. Begins abruptly.	Stotras
९२८	750	भुवनेश्वरीस्तोत्र	प्रिथ्विधर:	पद्मनाभ: राम:	Paper	DN	"९.२"" x ४.१"""	"७.५"" x २.६"""	8	31	37	इच्छाराम:	उत्तमस्तरीय:	संवत १७८२	Complete.	Stotras
९२९	1264	भुवनेश्वरीसहस्रनामस्तोत्र	_	_	Paper	DN	"८.१"" x ३.१"""	"६.३"" x २.२"""	10	40	6	माधव: द्विज:	उत्तमस्तरीय:	शक १६६४	Incomplete. F.1-4 missing begins abruptly.	Stotras
९३०	1562	भुवनेश्वरीस्तोत्र	_	_	Paper	DN	"५.४"" x ७.६"""	"४.२"" x ६"""	20	18	5	_	उत्तमस्तरीय:	_	Incomplete. Ends abruptly.	Stotras
९३१	976	ब्रह्मस्तुति 	_	_	Paper	DN	"१०.२"" x ५.६"""	"७.२"" x ३.२"""	10	28	20	_	मध्यमस्तरीय:	_	Complete. Pages have stuck together, folios torn and the text is damaged	Stotras
९३२	1273	चक्रराजस्तोत्र	_	_	Paper	DN	"९.१"" x ५.२"""	"८.१"" x ३.९"""	13	32	105	_	उत्तमस्तरीय:	_	Incomplete. Borders torn. F.1 to 84 missing Begins, Ends abruptly.	Stotras
९३३	1275	चर्पटपंजरीका	शंकराचार्य:	_	Paper	DN	"५.८"" x ३.८"""	"४.५"" x २.५"""	7	18	2	_	उत्तमस्तरीय:	_	Incomplete. Folios are slightly torn motheaten and the text is damaged, ends abruptly.	Stotras
९३४	984	चर्पटीस्तोत्र	शंकराचार्य:	_	Paper	DN	"६.३"" x ४.२"""	"४.५"" x ३"" "	8	20	4	_	उत्तमस्तरीय:	_	Complete.	Stotras
