0001	1246	अष्टौविकृति विवरण	मधुसूदन	--	Paper	DN	8.3"x4"	6.7"x2.5"	9	31	5	--.1	Good	--.2	--.2
0002	134	शिक्षाचतुष्टय	पाणिनी पिगंल	--	Paper	DN	8.3"x3"	6.5"x1.6"	9	43	11	--	Fair	shaka 1654	shaka 1654
0003	436	शिक्षाचतुष्टय	_	--	Paper	DN	8.1"x3.9"	6.3"x2.4"	10	27	27	जनार्दन हर्डिकर	Good	shaka 1747	shaka 1747
0004	736	शिक्षाचतुष्टय	_	--	Paper	DN	12.1"x4.2"	8.6"x2.4"	11	48	12	भट्ट दामोदर	Good	shaka 1643	shaka 1643
0005	1520	स्वरनिर्णय - स्वरांकुश	जयंत स्वामिन	--	Paper	DN	8.3"x4.1"	6.5"x2.8"	18	54	3	--	Good	--	--
0006a	1202	वर्णक्रमलक्षण	जगन्नाथ	--	Paper	DN	8.3"x4"	6.7"x2.6"	12	42	1	--	Fair	--	--
0006ba	1547	वर्णसमाम्नायविवेचना	आशाधर भट्ट	--	Paper	DN	9.5"x4.7"	7.3"x2.7"	10	31	8	--	Fair	--	--
0007	456	निघण्टु	--	--	Paper	DN	7.7"x4.8"	6.5"x3.3"	9	22	19	बापुभट्ट सदाशिव भट्ट पाथारक्ष्र	Good	shaka 1732, V.S. 1867	shaka 1732, V.S. 1867
0008	629	निरुक्त [Ch.१३ , १४ ]	यास्क	--	Paper	DN	8.4"x3"	6.8"x1.7"	8	48	13	विश्वनाथ  जाडिय	Good	shaka 1656	shaka 1656
0009	424	निरुक्त [Ch.१ से ६ ]	यास्क	--	Paper	DN	8.2"x3.9"	6.4"x2.5"	9	34	70	जनार्दन हर्डिकर	Good	shaka 1747	shaka 1747
0010	735	निरुक्त [Ch.१ से ६ ]	यास्क	--	Paper	DN	12"x4.2"	9.4"x2.3"	11	58	28	दामोदर हर्डिकर	Fair	shaka 1641	shaka 1641
0011	424a	निरुक्त [Ch.७ से १२ , १३ ]	यास्क	--	Paper	DN	8"x3.9"	6.2"x2.3"	9	35	86	गंगाधर भट्ट	Good	shaka 1734	shaka 1734
0012	504	निरुक्त [Ch.७ से १२ , १३ से १५]	यास्क	--	Paper	DN	8.2"x3.9"	5.9"x2.5"	9	28	92	बालम भट्ट परादकर	Good	shaka 1752	shaka 1752
0013	734	निरुक्त [Ch.७ से १२ , १३,१४ समाविष्ट]	यास्क	--	Paper	DN	12"x4.2"	9.4"x2.2"	11	55	32	--	Good	shaka 1719	shaka 1719
0014	598	अमरकोश	अमरसिन्ह	--	Paper	DN	8.4"x4.1"	6.6"x2.9"	11	34	5	--	Good	--	--
0015	710	अमरकोश	अमरसिन्ह	--	Paper	DN	8.1"x4.2"	6.2"x2.6"	7	18	36	नारायण कटक	Good	shaka 1741	shaka 1741
0016	325	अमरकोश (१-३) सटीक	अमरसिन्ह	महेश्वर	Paper	DN	12.5"x4.8"	10"x3.3"	10	50	२५०+१३१+८८=४७९	--	Good	shaka 1783, V.S.1862	shaka 1783, V.S.1862
0017	440	अमरकोश (१-३) सुधा सहित	अमरसिन्ह	भानुजी S/o भट्टोजी दिक्षित	Paper	DN	11.2"x5.3"	9"x3.3"	10	36	१३१+२८१-१३१= ५४३	--	Good	--	--
0018	642	अनेकार्थध्वनिमञ्जरी	--	--	Paper	DN	7.8"x3.7"	6"x2.4"	11	30	11	शिवदास	Fair	--	--
0019	22	अनेकार्थसंग्रह अथवा अनेकार्थनाममाला सटीक	हेमचंद्र	महेन्द्र सूरी	Paper	DN	9.7"x4.3"	7.7"x3.2"	15	36	317	--	Good	V.S.1664	V.S.1664
0020	1291	धन्वन्तरीयनिघण्टु	--	--	Paper	DN	9.6"x4.1"	8.3"x2.8"	9	28	6	--	Poor	--	--
0021	1316	अ. ग्रहनिघण्टु, ब. नक्षत्रनिघण्टु, क. राशिनिघण्टु	--	--	Paper	DN	9.8"x4.5"	8"x3.3"	11	30	2	--	Fair	--	--
0022	584	कोश ग्रन्थ	--	--	Paper	DN	8.2"x3.8"	6.4"x2.2"	9	28	16	--	Poor	--	--
0023	1347	कोश ग्रन्थ	--	--	Paper	DN	10.3"x4.5"	9.1"x3.5"	13	40	11	--	Fair	--	--
